image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_0_0.jpg,37,0.9971926212310791,1465,2362,1725,2723
VAIPE_P_0_0.jpg,8,0.9963914752006531,2066,1572,2435,2070
VAIPE_P_0_1.jpg,37,0.5658642053604126,1302,1774,1671,2121
VAIPE_P_0_1.jpg,8,0.9958796501159668,1675,2849,2276,3403
VAIPE_P_0_2.jpg,8,0.9953716993331909,769,1907,1309,2306
VAIPE_P_0_2.jpg,37,0.6578158736228943,1339,2368,1636,2749
VAIPE_P_0_3.jpg,56,0.996412992477417,1283,1904,1903,2352
VAIPE_P_0_4.jpg,56,0.9973320960998535,1403,1732,1898,2306
VAIPE_P_0_5.jpg,56,0.9969130754470825,1409,1947,2099,2496
VAIPE_P_0_6.jpg,56,0.9971387386322021,743,2483,1311,2986
VAIPE_P_0_7.jpg,8,0.9912620782852173,1464,1905,1791,2499
VAIPE_P_0_7.jpg,37,0.6486544013023376,1157,2161,1485,2564
VAIPE_P_0_8.jpg,56,0.9925060868263245,828,1649,1415,2060
VAIPE_P_0_9.jpg,37,0.9967688322067261,1369,1591,1612,1928
VAIPE_P_0_9.jpg,8,0.9957801103591919,1000,2450,1337,2959
VAIPE_P_0_10.jpg,56,0.9943276047706604,1096,1838,1713,2472
VAIPE_P_0_11.jpg,56,0.9979116916656494,1204,1925,1920,2382
VAIPE_P_0_12.jpg,37,0.9969466924667358,1306,1178,1681,1435
VAIPE_P_0_12.jpg,8,0.9937477111816406,1232,2197,1786,2612
VAIPE_P_0_13.jpg,8,0.9963067770004272,2090,2205,2360,2667
VAIPE_P_0_13.jpg,37,0.9902098178863525,1151,2219,1457,2391
VAIPE_P_0_14.jpg,56,0.9985817074775696,1181,1992,1797,2367
VAIPE_P_0_15.jpg,8,0.9966250061988831,688,2033,1074,2588
VAIPE_P_0_15.jpg,37,0.9945266246795654,1625,2318,1951,2739
VAIPE_P_0_16.jpg,56,0.9897835850715637,1128,1675,1643,2267
VAIPE_P_0_17.jpg,37,0.9964737296104431,1523,2469,1945,2767
VAIPE_P_0_17.jpg,8,0.9931111931800842,808,1821,1417,2116
VAIPE_P_0_18.jpg,56,0.9936299324035645,1046,1601,1456,2200
VAIPE_P_1_0.jpg,43,0.9973285794258118,1069,2208,1582,3124
VAIPE_P_1_0.jpg,43,0.9975066184997559,1403,2179,1904,3072
VAIPE_P_1_0.jpg,91,0.9992513656616211,537,2222,1254,2642
VAIPE_P_1_0.jpg,70,0.9050672054290771,605,2816,1025,3255
VAIPE_P_1_1.jpg,43,0.9983285069465637,830,1817,1375,2831
VAIPE_P_1_1.jpg,43,0.9991211891174316,700,2561,1724,3358
VAIPE_P_1_1.jpg,91,0.9987843036651611,1200,1969,1652,2711
VAIPE_P_1_2.jpg,43,0.9992504715919495,725,1659,1578,2236
VAIPE_P_1_2.jpg,43,0.999398946762085,915,1860,1768,2527
VAIPE_P_1_2.jpg,91,0.9989792108535767,1246,2091,1939,2727
VAIPE_P_1_3.jpg,107,0.8,966,1863,1472,2129
VAIPE_P_1_3.jpg,107,0.8,1049,1428,1421,1713
VAIPE_P_1_3.jpg,107,0.8,1353,1604,1645,1968
VAIPE_P_1_3.jpg,70,0.6064955592155457,1382,1176,1607,1384
VAIPE_P_1_3.jpg,107,0.8,412,1538,1053,1867
VAIPE_P_1_4.jpg,107,0.8,156,702,305,911
VAIPE_P_1_4.jpg,107,0.8,155,544,444,726
VAIPE_P_1_4.jpg,107,0.8,311,766,414,868
VAIPE_P_1_4.jpg,5,0.7115412950515747,352,682,447,773
VAIPE_P_1_4.jpg,88,0.7716126441955566,493,851,644,936
VAIPE_P_2_0.jpg,64,0.999699056148529,885,1254,1295,1632
VAIPE_P_2_0.jpg,64,0.9997702836990356,1052,951,1444,1310
