image,target,distances
VAIPE_P_0_0_0.jpg,37.0,0.9971926212310791
VAIPE_P_0_0_0.jpg,89.0,0.6509956121444702
VAIPE_P_0_0_1.jpg,8.0,0.9963914752006531
VAIPE_P_0_0_1.jpg,47.0,0.5487285852432251
VAIPE_P_0_10_0.jpg,56.0,0.9943276047706604
VAIPE_P_0_10_0.jpg,79.0,0.6711066365242004
VAIPE_P_0_11_0.jpg,56.0,0.9979116916656494
VAIPE_P_0_11_0.jpg,79.0,0.6714611053466797
VAIPE_P_0_12_0.jpg,37.0,0.9969466924667358
VAIPE_P_0_12_0.jpg,89.0,0.6320816278457642
VAIPE_P_0_12_1.jpg,8.0,0.9937477111816406
VAIPE_P_0_12_1.jpg,47.0,0.58277428150177
VAIPE_P_0_13_0.jpg,8.0,0.9963067770004272
VAIPE_P_0_13_0.jpg,47.0,0.5673897862434387
VAIPE_P_0_13_1.jpg,37.0,0.9902098178863525
VAIPE_P_0_13_1.jpg,42.0,0.5240865349769592
VAIPE_P_0_13_1.jpg,89.0,0.7085309624671936
VAIPE_P_0_13_1.jpg,91.0,0.5284808874130249
VAIPE_P_0_14_0.jpg,56.0,0.9985817074775696
VAIPE_P_0_14_0.jpg,79.0,0.6637020111083984
VAIPE_P_0_15_0.jpg,8.0,0.9966250061988831
VAIPE_P_0_15_0.jpg,47.0,0.5648413896560669
VAIPE_P_0_15_1.jpg,37.0,0.9945266246795654
VAIPE_P_0_15_1.jpg,89.0,0.6424962282180786
VAIPE_P_0_16_0.jpg,56.0,0.9897835850715637
VAIPE_P_0_16_0.jpg,79.0,0.6929937601089478
VAIPE_P_0_17_0.jpg,37.0,0.9964737296104431
VAIPE_P_0_17_0.jpg,89.0,0.621862530708313
VAIPE_P_0_17_1.jpg,8.0,0.9931111931800842
VAIPE_P_0_17_1.jpg,47.0,0.5702434778213501
VAIPE_P_0_18_0.jpg,56.0,0.9936299324035645
VAIPE_P_0_18_0.jpg,79.0,0.6765563488006592
VAIPE_P_0_1_0.jpg,37.0,0.5658642053604126
VAIPE_P_0_1_0.jpg,68.0,0.588220477104187
VAIPE_P_0_1_0.jpg,91.0,0.5350546836853027
VAIPE_P_0_1_1.jpg,8.0,0.9958796501159668
VAIPE_P_0_1_1.jpg,47.0,0.5889941453933716
VAIPE_P_0_2_0.jpg,8.0,0.9953716993331909
VAIPE_P_0_2_0.jpg,47.0,0.5794164538383484
VAIPE_P_0_2_1.jpg,0.0,0.5481860637664795
VAIPE_P_0_2_1.jpg,1.0,0.8826894760131836
VAIPE_P_0_2_1.jpg,37.0,0.6578158736228943
VAIPE_P_0_2_1.jpg,42.0,0.5045069456100464
VAIPE_P_0_2_1.jpg,60.0,0.8849191665649414
VAIPE_P_0_2_1.jpg,88.0,0.5189789533615112
VAIPE_P_0_2_1.jpg,89.0,0.5643689632415771
VAIPE_P_0_2_1.jpg,90.0,0.5210925340652466
VAIPE_P_0_2_1.jpg,92.0,0.550386369228363
VAIPE_P_0_2_1.jpg,99.0,0.6419540643692017
VAIPE_P_0_3_0.jpg,56.0,0.996412992477417
VAIPE_P_0_3_0.jpg,79.0,0.6626980304718018
VAIPE_P_0_4_0.jpg,56.0,0.9973320960998535
VAIPE_P_0_4_0.jpg,79.0,0.6572786569595337
VAIPE_P_0_5_0.jpg,56.0,0.9969130754470825
VAIPE_P_0_5_0.jpg,79.0,0.6814267635345459
VAIPE_P_0_6_0.jpg,56.0,0.9971387386322021
VAIPE_P_0_6_0.jpg,79.0,0.6712778806686401
VAIPE_P_0_7_0.jpg,8.0,0.9912620782852173
VAIPE_P_0_7_0.jpg,47.0,0.5868332982063293
VAIPE_P_0_7_1.jpg,0.0,0.6353129744529724
VAIPE_P_0_7_1.jpg,1.0,0.7046990394592285
VAIPE_P_0_7_1.jpg,3.0,0.6985203623771667
VAIPE_P_0_7_1.jpg,27.0,0.7215609550476074
VAIPE_P_0_7_1.jpg,37.0,0.6486544013023376
VAIPE_P_0_7_1.jpg,60.0,0.718307614326477
VAIPE_P_0_7_1.jpg,88.0,0.6312282681465149
VAIPE_P_0_7_1.jpg,89.0,0.7519636154174805
VAIPE_P_0_7_1.jpg,90.0,0.712302565574646
VAIPE_P_0_7_1.jpg,91.0,0.6720969676971436
VAIPE_P_0_7_1.jpg,92.0,0.6396398544311523
VAIPE_P_0_7_1.jpg,99.0,0.7374755144119263
