image_name,confidence_score,x_min,y_min,x_max,y_max,candidate
IMG_20220831_160853_0.jpg,0.9002523422241211,1596,1008,2236,1653,[{43.0: 0.9881188869476318}]
IMG_20220831_160853_1.jpg,0.8370088338851929,1957,1262,2335,1791,[{79.0: 0.8560363054275513}]
IMG_20220831_160909_0.jpg,0.8442906737327576,1428,892,1800,1387,[{43.0: 0.9734163284301758}]
IMG_20220831_160909_1.jpg,0.8336401581764221,2194,1109,2603,1392,[]
IMG_20220831_160858_0.jpg,0.8828167915344238,1276,1061,2266,1650,[{43.0: 0.9901905059814453}]
IMG_20220831_160858_1.jpg,0.8167628645896912,1465,622,2103,1184,[{79.0: 0.8501780033111572}]
IMG_20220831_160900_0.jpg,0.8416813611984253,2407,1368,3026,1740,[{43.0: 0.9854110479354858}]
IMG_20220831_160900_1.jpg,0.8013558983802795,1588,650,2055,1083,[{79.0: 0.8647305369377136}]
IMG_20220831_160855_0.jpg,0.8960795998573303,1204,656,1618,1502,[{43.0: 0.9863356351852417}]
IMG_20220831_160855_1.jpg,0.8729806542396545,1540,596,1887,1181,[{79.0: 0.9057561755180359}]
94de26d1a14f64113d5e_0.jpg,0.9069613814353944,573,1232,791,1421,"[{89.0: 0.9395995736122131, 90.0: 0.9035242199897766, 91.0: 0.7676002383232117, 99.0: 0.717087984085083}]"
94de26d1a14f64113d5e_1.jpg,0.9028508067131042,750,1099,859,1216,"[{7.0: 0.5469264388084412, 22.0: 0.5192590951919556, 46.0: 0.5779773592948914, 47.0: 0.7211950421333313}]"
94de26d1a14f64113d5e_2.jpg,0.8891929388046265,664,863,810,1015,"[{36.0: 0.9125651121139526, 51.0: 0.9326167106628418, 78.0: 0.5048609972000122}]"
94de26d1a14f64113d5e_3.jpg,0.8868222832679749,491,766,630,1046,[{10.0: 0.9815100431442261}]
06c620cba755620b3b44_0.jpg,0.8947466611862183,909,1255,1146,1443,"[{89.0: 0.9059609174728394, 90.0: 0.8795396089553833, 91.0: 0.7253528237342834, 99.0: 0.6651363968849182}]"
06c620cba755620b3b44_1.jpg,0.8876238465309143,766,1088,902,1377,[{10.0: 0.9871118068695068}]
06c620cba755620b3b44_2.jpg,0.8609387278556824,999,1138,1120,1259,[{47.0: 0.5399185419082642}]
06c620cba755620b3b44_3.jpg,0.8538922667503357,529,917,706,1086,"[{36.0: 0.9680418372154236, 51.0: 0.9773743152618408, 78.0: 0.5084328055381775}]"
5abc54cad354160a4f45_0.jpg,0.907601833343506,726,810,908,995,"[{36.0: 0.9732368588447571, 51.0: 0.9834188222885132}]"
5abc54cad354160a4f45_1.jpg,0.8963688015937805,639,1034,783,1183,[{47.0: 0.647065281867981}]
5abc54cad354160a4f45_2.jpg,0.8951007723808289,633,1130,981,1310,[{10.0: 0.9649176001548767}]
5abc54cad354160a4f45_3.jpg,0.8944759368896484,439,990,677,1263,[{42.0: 0.5498391389846802}]
ade1fee87976bc28e567_0.jpg,0.9240573048591614,240,1543,675,1745,"[{9.0: 0.5172533392906189, 10.0: 0.9795008897781372}]"
ade1fee87976bc28e567_1.jpg,0.9228156208992004,941,1116,1195,1508,"[{3.0: 0.536883533000946, 42.0: 0.5217710137367249, 89.0: 0.9856084585189819, 90.0: 0.963103711605072, 91.0: 0.9349300861358643, 99.0: 0.898172914981842}]"
ade1fee87976bc28e567_2.jpg,0.914005696773529,692,1348,912,1575,"[{36.0: 0.9529514908790588, 51.0: 0.9617277979850769}]"
ade1fee87976bc28e567_3.jpg,0.9057380557060242,491,1335,673,1515,"[{7.0: 0.6088438034057617, 46.0: 0.8276846408843994, 47.0: 0.5569135546684265}]"
e42f892c0eb2cbec92a3_0.jpg,0.9073699712753296,822,1488,1190,1710,"[{9.0: 0.5135322213172913, 10.0: 0.9608020186424255}]"
e42f892c0eb2cbec92a3_1.jpg,0.9057380557060242,539,1249,855,1448,"[{3.0: 0.524189829826355, 42.0: 0.5207199454307556, 89.0: 0.9819754958152771, 90.0: 0.9635221362113953, 91.0: 0.9253791570663452, 99.0: 0.8772652745246887}]"
e42f892c0eb2cbec92a3_2.jpg,0.902537167072296,897,1341,1083,1533,"[{36.0: 0.9745562076568604, 51.0: 0.9837406873703003, 78.0: 0.5015338063240051}]"
e42f892c0eb2cbec92a3_3.jpg,0.8967652916908264,744,1437,903,1589,[{47.0: 0.6533632874488831}]
IMG_9110_0.jpg,0.898128867149353,1306,1572,1876,2108,"[{45.0: 0.5380242466926575, 55.0: 0.6220051050186157}]"
IMG_9110_1.jpg,0.8786888718605042,1286,2402,1613,2717,"[{5.0: 0.5696335434913635, 7.0: 0.7005780935287476, 46.0: 0.5444055795669556, 47.0: 0.5733767747879028, 59.0: 0.5861489772796631, 63.0: 0.5452342629432678, 70.0: 0.6821761131286621}]"
IMG_9110_2.jpg,0.8609387278556824,1294,2051,1642,2431,[{29.0: 0.952476978302002}]
IMG_9112_0.jpg,0.9295304417610168,1507,2152,2005,2648,"[{36.0: 0.7764441967010498, 51.0: 0.8520007133483887, 54.0: 0.5443379282951355}]"
IMG_9112_1.jpg,0.8833842277526855,1549,1793,1817,2053,"[{5.0: 0.8040253520011902, 7.0: 0.9814596176147461, 28.0: 0.8980342745780945, 46.0: 0.5745077133178711, 47.0: 0.8480567932128906, 59.0: 0.7987050414085388, 63.0: 0.782804548740387, 70.0: 0.7158315181732178}]"
IMG_9112_2.jpg,0.8617992401123047,1496,1993,1889,2182,[{29.0: 0.7438121438026428}]
IMG_9113_0.jpg,0.9296038150787354,941,2523,1511,3083,"[{7.0: 0.5090683102607727, 36.0: 0.6873728036880493, 51.0: 0.7313957214355469}]"
IMG_9113_1.jpg,0.8733819127082825,1470,2632,1784,3041,[{29.0: 0.9834685325622559}]
