image,target,distances
006b4ce5c97b0c25556a_0.jpg,3.0,0.5132611989974976
006b4ce5c97b0c25556a_0.jpg,89.0,0.9462960958480835
006b4ce5c97b0c25556a_0.jpg,90.0,0.9214354753494263
006b4ce5c97b0c25556a_0.jpg,91.0,0.8998751640319824
006b4ce5c97b0c25556a_0.jpg,99.0,0.8447721004486084
006b4ce5c97b0c25556a_1.jpg,56.0,0.949128270149231
006b4ce5c97b0c25556a_2.jpg,3.0,0.5519598126411438
006b4ce5c97b0c25556a_2.jpg,89.0,0.7847214937210083
006b4ce5c97b0c25556a_2.jpg,90.0,0.7547193765640259
006b4ce5c97b0c25556a_2.jpg,91.0,0.7623738050460815
006b4ce5c97b0c25556a_2.jpg,99.0,0.7190079092979431
006b4ce5c97b0c25556a_3.jpg,25.0,0.9514192342758179
006b4ce5c97b0c25556a_3.jpg,26.0,0.9866170883178711
006b4ce5c97b0c25556a_4.jpg,25.0,0.945101261138916
006b4ce5c97b0c25556a_4.jpg,26.0,0.9846173524856567
006b4ce5c97b0c25556a_5.jpg,7.0,0.6512011885643005
006b4ce5c97b0c25556a_5.jpg,28.0,0.5085004568099976
006b4ce5c97b0c25556a_5.jpg,46.0,0.9241056442260742
006b4ce5c97b0c25556a_5.jpg,47.0,0.544771671295166
00a7e5cf7951bc0fe540_0.jpg,10.0,0.9887616634368896
00a7e5cf7951bc0fe540_1.jpg,3.0,0.541395366191864
00a7e5cf7951bc0fe540_1.jpg,42.0,0.5155094265937805
00a7e5cf7951bc0fe540_1.jpg,89.0,0.9770655632019043
00a7e5cf7951bc0fe540_1.jpg,90.0,0.9578604102134705
00a7e5cf7951bc0fe540_1.jpg,91.0,0.9381155967712402
00a7e5cf7951bc0fe540_1.jpg,99.0,0.8907406330108643
00a7e5cf7951bc0fe540_2.jpg,10.0,0.989901602268219
00a7e5cf7951bc0fe540_3.jpg,43.0,0.9844591617584229
00a7e5cf7951bc0fe540_4.jpg,29.0,0.9863073825836182
00a7e5cf7951bc0fe540_5.jpg,29.0,0.9822639226913452
00aec74f45d1808fd9c0_0.jpg,3.0,0.6131187677383423
00aec74f45d1808fd9c0_0.jpg,89.0,0.5504404306411743
00aec74f45d1808fd9c0_0.jpg,99.0,0.5290994048118591
00aec74f45d1808fd9c0_1.jpg,36.0,0.6444056630134583
00aec74f45d1808fd9c0_1.jpg,51.0,0.6986880898475647
00aec74f45d1808fd9c0_1.jpg,55.0,0.5572882294654846
00aec74f45d1808fd9c0_2.jpg,43.0,0.9418067932128906
00aec74f45d1808fd9c0_3.jpg,38.0,0.9788606762886047
00aec74f45d1808fd9c0_4.jpg,3.0,0.515304446220398
00aec74f45d1808fd9c0_4.jpg,42.0,0.5353658199310303
00aec74f45d1808fd9c0_4.jpg,89.0,0.991069495677948
00aec74f45d1808fd9c0_4.jpg,90.0,0.9578416347503662
00aec74f45d1808fd9c0_4.jpg,91.0,0.9338016510009766
00aec74f45d1808fd9c0_4.jpg,99.0,0.8771312236785889
00aec74f45d1808fd9c0_5.jpg,78.0,0.6810299158096313
00aec74f45d1808fd9c0_6.jpg,78.0,0.5342885851860046
0118336dabf36ead37e2_0.jpg,2.0,0.9811652898788452
0118336dabf36ead37e2_1.jpg,3.0,0.5849970579147339
0118336dabf36ead37e2_1.jpg,42.0,0.5109818577766418
0118336dabf36ead37e2_1.jpg,89.0,0.977041482925415
0118336dabf36ead37e2_1.jpg,90.0,0.9630134105682373
0118336dabf36ead37e2_1.jpg,91.0,0.9393600821495056
0118336dabf36ead37e2_1.jpg,99.0,0.939366340637207
0118336dabf36ead37e2_2.jpg,36.0,0.9587973356246948
0118336dabf36ead37e2_2.jpg,51.0,0.9955053329467773
0118336dabf36ead37e2_2.jpg,78.0,0.5157110095024109
0118336dabf36ead37e2_3.jpg,79.0,0.5223988890647888
0118336dabf36ead37e2_4.jpg,36.0,0.9366347789764404
0118336dabf36ead37e2_4.jpg,51.0,0.9850636720657349
0118336dabf36ead37e2_5.jpg,79.0,0.8716030716896057
0118336dabf36ead37e2_6.jpg,59.0,0.5662811994552612
0118336dabf36ead37e2_7.jpg,23.0,0.9709447026252747
0182a76422fae7a4beeb_0.jpg,43.0,0.9090099930763245
0182a76422fae7a4beeb_1.jpg,51.0,0.6393595933914185
0182a76422fae7a4beeb_1.jpg,55.0,0.5512562990188599
0182a76422fae7a4beeb_2.jpg,96.0,0.8372440338134766
0182a76422fae7a4beeb_3.jpg,28.0,0.6631206274032593
0182a76422fae7a4beeb_3.jpg,78.0,0.6843360066413879
0215a5563dc8f896a1d9_0.jpg,3.0,0.5464282631874084
0215a5563dc8f896a1d9_0.jpg,89.0,0.9247677326202393
0215a5563dc8f896a1d9_0.jpg,90.0,0.8682842254638672
0215a5563dc8f896a1d9_0.jpg,91.0,0.8607903718948364
0215a5563dc8f896a1d9_0.jpg,99.0,0.9012616276741028
